uri	sentence	label
20000278_1_S00535041	이를 좋게 본 csr 팀의 제안으로 현대차그룹 해피무브의 홍보단으로 미얀마에 파견되어 해외 봉사 홍보 영상을 제작하였습니다.	0
20000278_2_S00540315	사회 어디에서든 필요한 사람이 되기 위해 첫 걸음을 에서 진행 해 보려 합니다.	0
20000278_1_S00079937	그리고 2년 이내에 adp자격증을 취득하여 데이터 활용 능력을 길러 영업기획과 마케팅 업무에 대한 기반을 갖추겠습니다.5년 동안은 고객의 수요에 부응하는 대출상품을 제공하여 고객과 의 동반 수익을 창출하겠습니다.	1
20000278_1_S00174057	한 회사는 로부터 인수된 지 얼마 되지 않은 상황이었으며 회사 내에는 모든 업무가 수기로 관리되고 있었습니다.	0
20000278_1_S00242865	 사회혁신 인재 육성 업무 수행 sk그룹 신입사원 연수 교육과정 고용디딤돌 school 2기 3기 교육과정 운영 업무 경험을 통해 hrd 업무 수행에 필요한 역량을 쌓았습니다.	0
20000278_1_S00004729	 유통의 중심에서 를 보다 gs리테일 재직 당시 sm사업부 영남본부 소속으로 gs수퍼마켓 공산품파트를 관리하는 직무를 수행하면서 수많은 협력사와 파트너사를 직접 겪어보고 협업해본 경험이 있습니다.	1
20000278_1_S00129970	이러한 과정 속 레드닷 커뮤니케이션 부문 수상을 목표를 가지며 브랜드 가치를 높이고 그러한 임무를 수행하는 사내 마케팅 전문가로 성장하고자 합니다.	1
20000278_1_S00047211	점주의 동의를 받은 후 해당 구역을 관할하는 지점에 문의하여 매대를 공급받을 수 있었습니다.	0
20000278_1_S00099057	 의 앞으로 30년 성공역사에 제가 기여하고 싶습니다.	1
20000278_1_S00079937	 소통능력과 전문지식을 바탕으로 프로금융인 이 되겠습니다 제 강점은 에서 개인금융 직무를 수행하는데 필수적인 역량인 소통능력 과 금융지식을 갖춘 것입니다.화장품 판매 아르바이트를 하며 고객과 소통하는 힘 을 길렀습니다.	1
20000278_1_S00102877	 차량렌탈 외 다른 사업에 대한 이해도 오토리스 묘미 카셰어링 중고차매집 등 차량렌탈 영업 뿐만 아니라 다방면에 걸쳐 있는 의 사업에 대해서 더 파악하고 싶습니다.	1
20000278_1_S00053365	저의 전공을 활용할 수 있는 화학산업에서 지속적으로 성장하고 있는 은 제가 원하는 기준에 매우 적합하다고 판단하여 지원하게 되었습니다.	1
20000278_1_S00024594	 는 창사 이래 국내 제과사업을 선도해왔고 고객들과의 믿음을 쌓아왔습니다.	1
20000278_1_S00548617	해당 기업은 프라코 라는 범퍼를 생산하는 협력사였습니다.	0
20000278_1_S00025289	 의 영업지원에서 가장 필요한 역량은 의사소통능력입니다.	1
20000278_1_S00545416	저는 물류센터에서 물류관리 아르바이트를 수행하며 책임감을 인정받았던 경험이 가장 기억에 남습니다.	0
20000278_1_S00242446	대학생이 되어 국내봉사 이외에도 해외 봉사에 관심을 가지게 되었고 주관 글로벌 청년 봉사단 해피무브 지원하여 인도 해외 봉사를 다녀오게 되었습니다.	0
20000278_1_S00486567	첫째 품질기술부에서 근무하며 불량 제품의 생산 data를 분석하여 프로세스를 개선하였습니다.	0
20000278_1_S00151442	 은 최근 에틸렌 생산 능력을 키우며 연 247만 톤에서 현재 330만 톤 가량의 생산능력을 갖추었습니다.	1
20000278_1_S00090956	 은 서비스 유통 물류 등 다양한 산업 분야에서 를 위한 최적의 솔루션을 제공합니다.	1
20000278_1_S00045879	먼저 입사 후 단기적으로 이 보유한 여러 국내 사업장에 방문하여 현장을 경험하고 케미칼 영업에 필요한 기초 지식을 갈고 닦겠습니다.	1
20000278_1_S00489885	그래서 11번가 티몬 ssg 닷컴 등 다양한 사이트에서 가격 비교를 한 후에 구매하는 것이 일상이었습니다.	0
20000278_1_S00532828	저의 직무 목표는 건설에서 수준 기술력을 끊임없이 개발하고 현재 핵심 기술력을 고도화시키는 것입니다.	0
20000278_1_S00112430	고부가가치 제품 수요 증대에 따라 최근 스페셜티 소재 전문 자회사인 를 합병했을 뿐만 아니라 정밀화학까지 힘을 합치게 된다면 시너지를 발휘하여 글로벌 종합화학회사로 거듭날 수 있을 것으로 예상됩니다.	1
20000278_1_S00323548	알고리즘의 기초적인 부분들을 다시 찾아보며 공부하기 시작했고 슬랙과 톡 소모임을 통해 다양한 사람들과 의견을 나누면서 기존에 알고 있던 스킬 들도 개선하고 발전해나갔습니다.	0
20000278_1_S00539508	 고객의 입장에서 생각한 영업 활동 대학생 서포터즈의 일원으로 대학교 근처에서 btl 프로모션 활동을 수행했습니다.	0
20000278_1_S00549897	10일은 설악산에서 빙벽 등반을 하고 10일은 산에서 설산 트레킹 훈련을 하였습니다.	0
20000278_1_S00507269	알아보기 쉬운 인터넷면세점과 페이 토스 등 기술을 도입하는 추진력이 있습니다.	0
20000278_1_S00050069	그래서 홈플러스 마트 등 대형마트와 편의점을 다니며 칠성 제품들을 살펴보았습니다.	0
20000278_1_S00041492	내실을 강화하며 의 위상을 더욱 드높이겠으며 처음 고객이 평생 고객이 될 수 있도록 최선을 다하겠습니다.	1
20000278_1_S00149097	 데이터를 매출로 경쟁이 치열한 교육그룹에서 세분화한 고객의 needs를 제품으로 기획해 매출을 올린 경험으로 영업마케팅 직무를 잘 수행할 수 있어 지원했습니다.	1
20000278_1_S00537059	대학 진학 후에는 무역구제 경연 대회 gtep 사업단 유럽 법인 인턴 등을 통해 전공 지식 함양과 동시에 실무를 직접 경험했습니다.	0
20000278_1_S00042912	이커머스 위메프에서 sns를 운영하며 고객과 직접 소통하고 브랜드 굿즈 온 오프라인 캠페인 디자인을 통해 브랜드의 메시지를 전한 경험을 바탕으로 고객이 을 떠올리는 순간부터 상품을 받아볼 때까지 정성을 느낄 수 있는 디자인을 보여드리겠습니다.	1
20000278_1_S00090552	이는 가 반드시 저를 채용해야 하는 이유라고 생각합니다.	1
20000278_1_S00187847	실전 즉 작업하고 코딩하는 것 외에도 평소에 일기를 쓰거나 의견을 전달하고 유익한 정보를 공유하기를 좋아며 it 관련 최신 기술에 관심이 많은 제가 it 관련 전문적인 기사를 cns 공식 블로그에 기재한 경험은 새롭고 즐거웠습니다.	0
20000278_1_S00062006	 에 입사하여 남다른 인지능력으로 끊임없는 문제에 관해 연구하고 정보를 얻어 창의적인 해결책을 제시할 수 있는 환경 엔지니어가 되겠습니다.	1
20000278_1_S00097623	 진짜로 거듭나기 에 입사하여 공정지식을 겸비한 전문 구매인으로 성장하겠습니다.	1
20000278_1_S00000481	항상 도전하는 태도로 고객 최우선 가치를 실현하여 와 그 성장의 궤도를 함께 하겠습니다.	1
20000278_1_S00010322	저는 인공지능 연구실 석사 과정을 통해 해당 역량을 키워왔으며 이를 바탕으로 에 이바지함과 동시에 동반 성장하고 싶습니다.	1
20000278_1_S00530742	그리고 시작된 촬영 백치미가 넘쳐흐르는 출연자부터 예상외로 문제를 술술 풀어가는 출연자까지 다양한 그림을 담을 수 있었습니다.결국 수학남녀는 메인에 이틀 연속 소개됐습니다.	0
20000278_1_S00023855	 항상 발전하는 엔지니어가 되기 위한 무대 의 세계적 기업이 되기 위한 도전에 발맞춰 세계 최고 수준의 생산 설비를 갖추는 전문적인 엔지니어로 성장하겠습니다.	1
20000278_1_S00012307	저 또한 현재에 안주하지 않고 통계 및 데이터 분석력을 키우겠습니다장기적으로는 고객감동 이라는 입사 초기의 초심을 잃지 않고 식품시장 트렌드 분석부터 구체적 신사업 기획 온 오프라인이 융합된 유통채널 개발 마지막 최종목표인 의 매출액 상승으로 이어지는 데 노력하는 전문가가 되겠습니다.	1
20000278_1_S00121950	명함을 내밀었을 때 사람들이 부러워할 만한 곳이면 좋겠다고 생각했습니다.그리고 는 다양한 계열사와의 시너지 효과를 바탕으로 높은 시장 점유율을 지닌 유통업계의 선도 기업입니다.	1
20000278_1_S00029063	확장된 시장에서 확장된 의 점유율 을 위해 최선을 다할 것입니다.	1
20000278_1_S00535298	힘든 완주를 끝으로 기록을 한 날이긴 했지만 어떤 어려운 일도 마음먹기에 달려있다 는 생각을 가질 수 있도록 제 사고방식에 변화를 가져다준 뜻깊은 날이었습니다.	0
20000278_1_S00478690	이를 통해 목표 달성을 위해 도전정신과 전문성이 필요함을 깨닫게 되었습니다.대학시절 영업 직무 체험을 위해 인턴에 지원하였습니다.	0
20000278_1_S00473428	택배 인프라를 견고하게 다지기 위하여 진천 여주 등 통합물류센터를 준공하고 고객 만족도를 높이기 위해 페이와 물류 네트워크를 결합한 서비스를 제공하였습니다.	0
20000278_1_S00140420	해외시장에서 안정화를 꾀하는 동시에 지속적 성장을 하는 와 함께한다면 그 목표를 이룰 수 있을 것이라는 확신이 들었습니다.	1
20000278_1_S00138124	하지만 제약업계의 환경 변화로 인해 직무의 비전이 불명확해졌습니다.그러던 중 은 저에게 이상향처럼 다가왔습니다.	1
20000278_1_S00535092	또한 블로그를 운영하며 소비자들의 관심사와 트렌드에 대해 끊임없이 탐구하였습니다.	0
20000278_1_S00546499	이를 위해 저는 ess를 응용하여 제2회 친환경 아이디어 공모전 아이디어 부문 에 출전하였습니다.	0
20000278_1_S00148741	이처럼 에서의 it직무를 수행함에도 여신에 대한 지식이 필수적이라고 생각합니다.	1
20000278_1_S00526645	 높은 경쟁률 그 이상의 teamwork 해상풍력 산업의 가속화를 주제로 글로벌챌린저라는 공모전에 참가했던 경험이 있습니다.	0
20000278_1_S00538078	 스마트한 설비 보전 환경을 구축하겠습니다 중공업 인턴 당시 유중 가스 분석을 통해 설비 결함을 진단하는 iot 센서의 개발에 6개월간 참여한 경험이 있습니다.	0
20000278_1_S00542085	한창 남북테마주로 대장주이었던 은 오랜 바닥 생활 끝에 이미 많이 오른 상태였습니다.	0
20000278_2_S00509731	그 결과 50개 중 30개 이상의 영상이 모두 재미의 요소가 포함된 것을 알 수 있었고 특히 야놀자나 의 경우 이를 통해 매출을 증가했다는 기사를 접하게 되었습니다.	0
20000278_1_S00531535	이를 계기로 기계 안전환경팀에서 인턴을 진행했습니다.	0
20000278_1_S00487138	제일기획에서 인턴을 통해 판매 광고주를 담당하여 소비자 분석 능력을 기르고 영화관 아르바이트를 통해 관찰력을 갖추어 소비자가 원하는 점을 파악하고 매점 매출 향상에 기여했던 경험이 있습니다.	0
20000278_1_S00107949	저는 이 추구하는 협력과 상생을 하는 젊은이가 되기위해 다음과 같은 노력을 했습니다.	1
20000278_1_S00061107	해당 경험을 바탕으로 과 함께 고객의 퍼스널쇼퍼가 되어 쇼핑의 새로운 가치를 창출하고 싶습니다.	1
20000278_1_S00150373	입사 후에도 적극 소통하는 의 구성원이 될 것입니다.	1
20000278_1_S00087680	회계를 접하다 보니 경제적이라는 단어가 많이 와닿는데 소비자들을 경제적으로 소비할 수 있도록 고객의 마음을 헤아리고 고민할 시간을 덜어주며 최고의 제품을 선택하게 해주는 라면 직원 역시 소중히 여기는 기업일 거라 생각하게 되었습니다.그래서 저는 2년간 세무 법인에서 업무 경험을 하면서 키운 재무회계 능력을 고객이 선택한 에서 발휘해 가 더욱더 고객에 집중하는 회사가 되도록 도움이 되는 인재가 되고자 지원합니다.	1
20000278_1_S00036378	국내 최고의 면세점인 에서 저에게 가장 잘 맞는 옷을 입어보고 싶습니다.	1
20000278_1_S00504038	 유연한 사고로 문제를 해결하다 저는 독일 함부르크지사에서 인턴을 했었습니다.	0
20000278_1_S00092008	 중국인이 즐겨 먹는 음식 가 제공하겠습니다 입사 후 10년 후 저만의 목표는 와 함께 중국의 식품 시장을 압도하는 것입니다.	1
20000278_1_S00541366	저의 긍정적인 마인드는 실패를 하더라고 와 같이 일어나 열심히 달려가는 그러한 인재가 되어 좀 더 직원들이 일을 하는중에서도 웃음을 잃지않도록 하고싶습니다.	0
20000278_1_S00146893	저는 제가 가진 it 역량을 결합하여 처럼 다양한 산업 분야의 많은 사람들이 편리함을 느낄 수 있는 it 서비스를 구축하고 싶다는 생각을 항상 해왔습니다.	1
20000278_1_S00127123	 라는 말을 들을 정도로 밝은 목소리로 업무에 진심을 다해 임하였으며 고객 취향에 따른 옷 추천을 진행함으로써 고객을 생각하는 마음을 전달하였습니다.단순히 마진이 많이 남는 옷을 추천하는 것이 아닌 고객의 입장에서 고객 취향과 이미지를 고려하여 옷을 추천하였습니다.그 결과 저의 진심 어린 마음을 헤아려 주신 고객들의 만족도 상승과 재방문 비율 또한 1.5 배 증가하였습니다. 에서도 고객에게 진심을 전달하는 방법을 생각하는 영업관리자로서 향후 기업에 대한 긍정적 이미지 제고와 함께 운영 인력의 업무 만족도 또한 향상시키겠습니다.	1
20000278_1_S00049679	 에 입사 후에도 도전을 두려워하지 않고 실패하더라도 실패를 통해 배울 수 있는 인재가 되겠습니다.	1
20000278_1_S00155928	 와 함께하는 혁신과 도전 의 혁신적인 사업 전략은 신선한 충격이자 에서 혁신적인 도전을 함께 하고 싶다고 생각하게 된 계기였습니다.	1
20000278_1_S00545637	해당 활동에서 최우수 팀으로 선정되었고 또 t의 공모전에 참가하여 대상을 받는 등의 성과를 만들어낼 수 있었습니다.	0
20000278_1_S00038866	 대학생과 함께 글로벌 유통업계로 성장할 수 있는 를 만들어 보고 싶습니다.	1
20000278_1_S00083337	또한 자신감이 긍정적인 사고를 불러오고 또 그러한 사고방식은 저를 옳은 길로 나아갈 수 있도록 도와준다는 것을 배웠습니다.또한 잠깐에 성공에 안주하지 않고 부족함을 메꾸기 위해 끊임없이 공부하고 노력하여 다자격 취득에 성공하였습니다.그 이후에도 끊임없는 노력을 통해 지식과 기술을 갖추었고 실패의 좌절 상황에도 긍정으로 상쇄하는 유연함을 지니게 되었습니다.이렇듯 저의 긍정적인 에너지와 준비된 능력을 실무에 적용함으로 의 생산지원 부문의 대체불가능한 인재가 될 자신이 있습니다.	1
20000278_1_S00072456	이는 의 핵심가치인 기본에 철저하고 고객 지향적이며 효율 제고에 임할 수 있다고 확신합니다.이를 위해 세 가지 다짐을 세우고 한 부분도 놓치지 않겠습니다.첫째 유통 시장 분석을 통해 소비 트렌드의 변화에 발빠르게 대응하겠습니다.	1
20000278_1_S00008663	엔터테인먼트와 합작하여 연예인의 굿즈를 판매함으로써 프렌즈 또는 라인프렌즈샵에 버금가는 외국인 고객 유치 및 매출증대를 이룰 수 있을 것입니다.	0
20000278_2_S00534856	내부판매와 외부판매로 조를 나눠 일을 분담했고 외부판매 조는 쟁반 등을 통해 이동판매를 시작했습니다.판매를 하다가 에 가서 다시 재료를 사와서 재료를 보충하기도 하였습니다.	0
20000278_2_S00147680	친구가 에 근무를 하며 유통 전문가가 되어가는 모습이 부럽기도 하였고 대한민국 유통업의 중심인 슈퍼에 취업하여 유통전문가가 되어보려 지원하게 되었습니다.	0
20000278_1_S00517211	키워드가 html 소스 코드에 연동되지 못하여 상단 노출이 되지 않고 소스 코드 내 설명문이 올바르지 않아 검색하더라도 웹페이지를 알아보기 어려웠습니다.상위 노출되는 콘텐츠를 비교해보았습니다.	0
20000278_1_S00112658	맡은 일에 최선을 다했던 good한 대학생의 도전이 더 나은 better 가치를 고민하는 의 best 신입사원이 되겠습니다.	1
20000278_1_S00506608	3학년 1학기 때는 스터디로 알게 됐던 분의 알선으로 톡 플러스친구로 서비스를 만들게 됐습니다.	0
20000278_1_S00150337	 에서도 기본에 충실한 사람이 되고 싶습니다.	1
20000278_1_S00069408	제가 회사를 선택하는 기준은 성장가능성입니다. 은 생산능력성장을 위해 투자를 아끼지 않고 있습니다.	1
20000278_1_S00015482	 업계 1위의 노하우 은 한국 면세산업 업계 1위라는 타이틀을 가지고 있습니다.	1
20000278_1_S00132834	현재 는 광고 마케팅 모바일 결제 등 다양한 고객의 니즈를 반영할 뿐만 아니라 빅데이터에 기반한 전문성으로 법인 파트너들에게 마케팅 컨설팅 서비스를 제공하고 있습니다.	1
20000278_1_S00544610	팀을 꾸려서 에서 진행한 공모전에 임한 적이 있습니다.	0
20000278_1_S00053858	 백화점계를 혁신하는 신사업 기획자 에 입사하여 저의 기획력 고객 분석력 등 저의 역량으로 백화점계를 주도하고 혁신하는 신사업 기획자가 될 것입니다.	1
